origin_id,park_id,mode,duration_min,distance_km
bedminster,ashton_court,walk,42.4,3.4
bedminster,ashton_court,drive,12.5,3.67
bedminster,ashton_court,transit,24.9,3.94
bedminster,brandon_hill,walk,32.5,2.6
bedminster,brandon_hill,drive,10.5,2.8
bedminster,brandon_hill,transit,20.9,3.01
bedminster,clifton_downs,walk,64.4,5.15
bedminster,clifton_downs,drive,16.8,5.56
bedminster,clifton_downs,transit,33.6,5.97
bedminster,eastville_park,walk,73.4,5.87
bedminster,eastville_park,drive,18.6,6.34
bedminster,eastville_park,transit,37.2,6.81
bedminster,st_andrews_park,walk,70.3,5.63
bedminster,st_andrews_park,drive,18.0,6.08
bedminster,st_andrews_park,transit,36.0,6.53
bedminster,victoria_park,walk,14.5,1.16
bedminster,victoria_park,drive,6.9,1.25
bedminster,victoria_park,transit,13.8,1.35
bedminster,castle_park,walk,37.5,3.0
bedminster,castle_park,drive,11.5,3.24
bedminster,castle_park,transit,22.9,3.48
bedminster,blaise_castle,walk,124.1,9.93
bedminster,blaise_castle,drive,28.7,10.72
bedminster,blaise_castle,transit,57.3,11.51
bishopston,ashton_court,walk,70.5,5.64
bishopston,ashton_court,drive,18.1,6.09
bishopston,ashton_court,transit,36.0,6.54
bishopston,brandon_hill,walk,45.7,3.65
bishopston,brandon_hill,drive,13.1,3.94
bishopston,brandon_hill,transit,26.2,4.24
bishopston,clifton_downs,walk,38.7,3.1
bishopston,clifton_downs,drive,11.7,3.35
bishopston,clifton_downs,transit,23.4,3.6
bishopston,eastville_park,walk,38.3,3.07
bishopston,eastville_park,drive,11.6,3.31
bishopston,eastville_park,transit,23.2,3.56
bishopston,st_andrews_park,walk,7.5,0.6
bishopston,st_andrews_park,drive,5.5,0.65
bishopston,st_andrews_park,transit,11.0,0.7
bishopston,victoria_park,walk,71.8,5.74
bishopston,victoria_park,drive,18.3,6.2
bishopston,victoria_park,transit,36.5,6.66
bishopston,castle_park,walk,38.4,3.07
bishopston,castle_park,drive,11.6,3.31
bishopston,castle_park,transit,23.3,3.56
bishopston,blaise_castle,walk,61.3,4.9
bishopston,blaise_castle,drive,16.2,5.3
bishopston,blaise_castle,transit,32.4,5.69
fishponds,ashton_court,walk,123.1,9.85
fishponds,ashton_court,drive,28.6,10.64
fishponds,ashton_court,transit,57.0,11.43
fishponds,brandon_hill,walk,91.9,7.35
fishponds,brandon_hill,drive,22.3,7.94
fishponds,brandon_hill,transit,44.5,8.53
fishponds,clifton_downs,walk,100.4,8.03
fishponds,clifton_downs,drive,24.0,8.67
fishponds,clifton_downs,transit,47.9,9.32
fishponds,eastville_park,walk,34.2,2.73
fishponds,eastville_park,drive,10.8,2.95
fishponds,eastville_park,transit,21.6,3.17
fishponds,st_andrews_park,walk,58.6,4.69
fishponds,st_andrews_park,drive,15.7,5.07
fishponds,st_andrews_park,transit,31.3,5.44
fishponds,victoria_park,walk,95.1,7.61
fishponds,victoria_park,drive,23.0,8.22
fishponds,victoria_park,transit,45.8,8.82
fishponds,castle_park,walk,74.7,5.98
fishponds,castle_park,drive,18.9,6.46
fishponds,castle_park,transit,37.7,6.93
fishponds,blaise_castle,walk,112.1,8.97
fishponds,blaise_castle,drive,26.4,9.69
fishponds,blaise_castle,transit,52.6,10.4
henleaze,ashton_court,walk,81.7,6.54
henleaze,ashton_court,drive,20.3,7.06
henleaze,ashton_court,transit,40.5,7.58
henleaze,brandon_hill,walk,66.2,5.3
henleaze,brandon_hill,drive,17.2,5.72
henleaze,brandon_hill,transit,34.3,6.15
henleaze,clifton_downs,walk,42.7,3.42
henleaze,clifton_downs,drive,12.5,3.69
henleaze,clifton_downs,transit,25.0,3.97
henleaze,eastville_park,walk,66.2,5.29
henleaze,eastville_park,drive,17.2,5.72
henleaze,eastville_park,transit,34.3,6.14
henleaze,st_andrews_park,walk,37.3,2.98
henleaze,st_andrews_park,drive,11.4,3.22
henleaze,st_andrews_park,transit,22.8,3.46
henleaze,victoria_park,walk,98.0,7.84
henleaze,victoria_park,drive,23.5,8.46
henleaze,victoria_park,transit,47.0,9.09
henleaze,castle_park,walk,64.9,5.19
henleaze,castle_park,drive,16.9,5.61
henleaze,castle_park,transit,33.8,6.02
henleaze,blaise_castle,walk,31.6,2.53
henleaze,blaise_castle,drive,10.3,2.73
henleaze,blaise_castle,transit,20.6,2.94
totterdown,ashton_court,walk,63.7,5.09
totterdown,ashton_court,drive,16.7,5.5
totterdown,ashton_court,transit,33.3,5.91
totterdown,brandon_hill,walk,40.5,3.24
totterdown,brandon_hill,drive,12.1,3.5
totterdown,brandon_hill,transit,24.1,3.75
totterdown,clifton_downs,walk,72.8,5.82
totterdown,clifton_downs,drive,18.5,6.29
totterdown,clifton_downs,transit,36.9,6.75
totterdown,eastville_park,walk,54.6,4.37
totterdown,eastville_park,drive,14.9,4.72
totterdown,eastville_park,transit,29.7,5.07
totterdown,st_andrews_park,walk,62.4,4.99
totterdown,st_andrews_park,drive,16.4,5.39
totterdown,st_andrews_park,transit,32.8,5.79
totterdown,victoria_park,walk,12.0,0.96
totterdown,victoria_park,drive,6.4,1.04
totterdown,victoria_park,transit,12.8,1.12
totterdown,castle_park,walk,32.2,2.58
totterdown,castle_park,drive,10.4,2.78
totterdown,castle_park,transit,20.8,2.99
totterdown,blaise_castle,walk,126.2,10.09
totterdown,blaise_castle,drive,29.2,10.9
totterdown,blaise_castle,transit,58.2,11.71
